BARCODE,PRODUCT NAME,PRICE
FUMTRHUIV54PU,Adipotide - 10 MG,152
FFH39467DK,AOD-9604 2mg,48
GGG58135DK,BPC 157 10mg,80
GGG5814RX,BPC 157 2mg,36
GGG5817RX,BPC 157 5mg,50
HRKVLZUSKMHH52RX,Cagrilintide 10mg,210
HRKVLZUSKMHH9YL,Cagrilintide 5mg,120
HAG5537BZXLGOO7DK,CJC-1295 WITH DAC 2mg,48
HAG5537BZXLGOO0DK,CJC-1295 with DAC 5mg,65
HAG5537BZXLRIFIRG53AS,CJC-1295 without DAC 10mg,108
HAG5537BZXLRIFIRG6PU,CJC-1295 without DAC 2mg,40
HAG5537BZXLRIFIRG9PU,CJC-1295 without DAC 5mg,64
IJMT8AS,DSIP (Delta Sleep-Inducing Peptide) 5mg,72
JGMXKOXTE54PU,Epithalon 10mg,60
LYOGX525DK,GHK-Cu 100mg,72
LYOGX92RX,GHK-Cu 50mg,52
LYVT56YL,GHRP-2 - 2mg,28
LYVT59YL,GHRP-2 5mg,52
MTK9342NL,HCG 5,000iu,100
MVBEUSXNE6QJ,Hexarelin 2mg,36
MVBEUSXNE9QJ,Hexarelin 5mg,72
MDK18WG,HMG 75iu/vial,0
NXJ5OF5.6DK,IGF-1 LR3 .1mg,60
NXJ5OF56DK,IGF-1 LR3 1mg,192
NGEQRFQQZR53AS,Ipamorelin 10mg,100
NGEQRFQQZR6PU,Ipamorelin 2mg,36
NGEQRFQQZR9PU,Ipamorelin 5mg,50
PZWWSSBYZR53-9YL,Kisspeptin-10 5mg,60
RVPEQCFFE6-53AS,Melanotan 2 10mg,36
RFXWF52RX,MOTS-C 10mg,72
SRH934YL,NAD+ 500mg,112
TOCXRQUSRGIWOFJ9QK,Oxytocin Acetate - 2mg,72
UVKQJT,PEG-MGF,72
UK58452RX,PT-141 10mg,72
UK5849YL,PT-141 5mg,50
WVXEWFGYZHI44YL,Retatrutide 10 MG,192
XVPEQY7RX,Selank 5mg,72
XVQEJZGYZHI44YL,Semaglutide 10mg,160
XVQEJZGYZHI5AS,Semaglutide 2mg,60
XVQEJZGYZHI8AS,Semaglutide 5mg,112
XVQEA52RX,Semax 10mg,80
XVVQRFQQZR6PU,Sermorelin 2mg,60
XVVQRFQQZR9PU,Sermorelin 5mg,108
XEET152RX,Snap-8 10mg,60
XJ75-44YL,SS-31 10mg,84
XJ75-84YL,SS-31 50mg,0
YS943-52RX,TB-500 10mg,128
YS943-6YL,TB-500 2mg,48
YS943-9YL,TB-500 5mg,84
YVWEPCDJCMR44YL,Tesamorelin 10 mg,152
YVWEPCDJCMR5AS,Tesamorelin 2 mg,60
YVWEPCDJCMR8AS,Tesamorelin 5 mg,112
YYCQRGUSRPTKO3-67QK,Thymosin alpha 1 - 10 MG,140
YYCQRGUSRPTKO3-0DK,Thymosin alpha 1 - 5 MG,84
YYCQXZUNE,Thymulin,72
YZVDHDMYZHI44YL,Tirzepatide 10 mg,156
YZVDHDMYZHI49YL,Tirzepatide 15 mg,200
YZVDHDMYZHI64YL,Tirzepatide 30 mg,280
YZVDHDMYZHI8AS,Tirzepatide 5mg,112
YZVDHDMYZHI94YL,Tirzepatide 60 mg,440 